"country","month","year","local.cases","local.pop","travel.cases","travel.pop"
"Cayman Islands",11,2016,7,60765,0,10506
"Chile",11,2016,NA,17909754,NA,13816
"Colombia",11,2016,387,48653419,0,69418
"Costa Rica",11,2016,834,4857274,0,22379
"Cuba",11,2016,0,11475982,5,66722
"Curacao",11,2016,1808,159999,0,4628
"Dominica",11,2016,0,73543,0,442
"Dominican Rep",11,2016,14,10648791,0,34319
"Ecuador",11,2016,59,16385068,1,25599
"El Salvador",11,2016,43,6344722,0,4324
"French Guiana",11,2016,101,283000,NA,119
"Grenada",11,2016,3,107317,0,1167
"Guadeloupe",11,2016,103,450000,0,428
"Guatemala",11,2016,69,16582469,0,12112
"Guyana",11,2016,NA,773303,0,3195
"Haiti",11,2016,NA,10847334,0,23730
"Honduras",11,2016,115,9112867,0,9669
"Jamaica",11,2016,68,2881355,0,31447
"Martinique",11,2016,43,385000,0,536
"Mexico",11,2016,702,127540423,2,82499
"Nicaragua",11,2016,326,6149928,0,10554
"Panama",11,2016,509,4034119,0,12514
"Paraguay",11,2016,13,6725308,NA,2873
"Peru",11,2016,636,31773839,NA,20988
"Puerto Rico",11,2016,2148,3411307,5,98276
"St Barthelemy",11,2016,61,9278,2,NA
"St Kitts-Nevis",11,2016,20,54821,NA,2072
"St Lucia",11,2016,0,178015,0,1932
"St Maarten (Dutch Part)",11,2016,230,40005,NA,5068
"St Vincent-Grenad",11,2016,NA,109643,NA,121
"Suriname",11,2016,3,558368,0,1855
"Trinidad-Tobago",11,2016,3,1364962,0,14507
"Turks-Caicos",11,2016,24,34900,NA,4527
"Uruguay",11,2016,NA,3444006,NA,3884
"Venezuela",11,2016,134,31568179,1,40136
"Virgin Islands (GB)",11,2016,9,30661,2,382
"Virgin Islands (US)",11,2016,195,102951,3,11507
"Anguilla",12,2016,3,15000,0,69
"Antigua-Barbuda",12,2016,0,100963,0,1959
"Argentina",12,2016,0,43847430,NA,54093
"Aruba",12,2016,3,104822,NA,10842
"Bahamas",12,2016,8,391232,0,58249
"Barbados",12,2016,6,284996,3,6849
"Belize",12,2016,96,366954,0,2015
"Bermuda",12,2016,NA,65331,NA,3456
"Bolivia",12,2016,63,10887882,0,6923
"Bonaire, Saint Eustatius and Saba",12,2016,NA,25000,0,481
"Brazil",12,2016,836,207652865,1,131946
"Canada",12,2016,NA,36286425,NA,243979
"Cayman Islands",12,2016,6,60765,0,12730
"Chile",12,2016,NA,17909754,NA,16006
"Colombia",12,2016,311,48653419,1,83648
"Costa Rica",12,2016,508,4857274,0,29812
"Cuba",12,2016,0,11475982,1,142537
"Curacao",12,2016,632,159999,0,5395
"Dominica",12,2016,0,73543,0,420
"Dominican Rep",12,2016,13,10648791,1,40834
"Ecuador",12,2016,56,16385068,0,20928
"El Salvador",12,2016,35,6344722,0,4943
"French Guiana",12,2016,64,283000,NA,148
"Grenada",12,2016,4,107317,0,1954
"Guadeloupe",12,2016,49,450000,0,1205
"Guatemala",12,2016,54,16582469,0,12799
"Guyana",12,2016,NA,773303,0,3294
"Haiti",12,2016,NA,10847334,1,24981
"Honduras",12,2016,68,9112867,0,12567
"Jamaica",12,2016,31,2881355,1,32853
"Martinique",12,2016,34,385000,0,1170
"Mexico",12,2016,126,127540423,0,106008
"Nicaragua",12,2016,102,6149928,0,13118
"Panama",12,2016,655,4034119,0,11485
"Paraguay",12,2016,34,6725308,NA,3051
"Peru",12,2016,545,31773839,NA,21607
"Puerto Rico",12,2016,1196,3411307,6,75301
"St Barthelemy",12,2016,37,9278,0,NA
"St Kitts-Nevis",12,2016,5,54821,NA,2761
"St Lucia",12,2016,0,178015,0,1783
"St Maarten (Dutch Part)",12,2016,177,40005,NA,5458
"St Vincent-Grenad",12,2016,NA,109643,NA,156
"Suriname",12,2016,2,558368,0,1737
"Trinidad-Tobago",12,2016,0,1364962,0,15743
